Any,Regió Sanitària,Àrea Bàsica de Salut,Població assegurada oficial CatSalut
2017,CATALUNYA CENTRAL,SÚRIA,8715
2017,CATALUNYA CENTRAL,SANTA EUGÈNIA DE BERGA,17552
2017,CATALUNYA CENTRAL,TONA,12095
2017,CATALUNYA CENTRAL,VALL DEL GES,18265
2017,CATALUNYA CENTRAL,VILANOVA DEL CAMÍ,12532
2017,CATALUNYA CENTRAL,CAPELLADES,10337
2017,CATALUNYA CENTRAL,PIERA,17228
2017,CATALUNYA CENTRAL,VIC-1 NORD,25739
2017,CATALUNYA CENTRAL,VIC-2 SUD,24000
2017,CATALUNYA CENTRAL,IGUALADA-1,19974
2017,CATALUNYA CENTRAL,IGUALADA-2,20368
2017,CATALUNYA CENTRAL,RODA DE TER,9498
2017,ALT PIRINEU i ARAN,ARAN,9079
2017,ALT PIRINEU i ARAN,LA CERDANYA,15836
2017,ALT PIRINEU i ARAN,ALT URGELL-SUD,3930
2017,ALT PIRINEU i ARAN,PALLARS SOBIRÀ,5820
2017,ALT PIRINEU i ARAN,LA POBLA DE SEGUR,4232
2017,ALT PIRINEU i ARAN,ALTA RIBAGORÇA,3551
2017,ALT PIRINEU i ARAN,LA SEU D'URGELL,16295
2017,ALT PIRINEU i ARAN,TREMP,8090
2017,BARCELONA,ARENYS DE MAR,23555
2017,BARCELONA,ARGENTONA,17182
2017,BARCELONA,BARCELONA 1-A,14103
2017,BARCELONA,BARCELONA 1-B,22054
2017,BARCELONA,BARCELONA 1-C,14405
2017,BARCELONA,BARCELONA 1-D,28971
2017,BARCELONA,BARCELONA 1-E,21070
2017,BARCELONA,BARCELONA 2-A,33542
2017,BARCELONA,BARCELONA 2-B,30120
2017,BARCELONA,BARCELONA 2-C,30860
2017,BARCELONA,BARCELONA 2-D,18573
2017,BARCELONA,BARCELONA 2-E,32958
2017,BARCELONA,BARCELONA 2-G,21869
2017,BARCELONA,BARCELONA 2-H,25946
2017,BARCELONA,BARCELONA 2-I,20527
2017,BARCELONA,BARCELONA 2-J,27153
2017,BARCELONA,BARCELONA 2-K,25565
2017,BARCELONA,BARCELONA 3-A,24433
2017,BARCELONA,BARCELONA 3-B,24301
2017,BARCELONA,BARCELONA 3-C,15092
2017,BARCELONA,BARCELONA 3-D,30061
2017,BARCELONA,BARCELONA 3-E,41482
2017,BARCELONA,BARCELONA 3-G,27006
2017,BARCELONA,BARCELONA 4-A,28386
2017,BARCELONA,BARCELONA 4-B,21834
2017,BARCELONA,BARCELONA 4-C,30862
2017,BARCELONA,BARCELONA 5-A,28484
2017,BARCELONA,BARCELONA 5-B,34657
2017,BARCELONA,BARCELONA 5-C,26985
2017,BARCELONA,BARCELONA 5-D,18870
2017,BARCELONA,BARCELONA 5-E,33660
2017,BARCELONA,BARCELONA 6-A,30043
2017,BARCELONA,BARCELONA 6-B,25791
2017,BARCELONA,BARCELONA 6-C,20897
2017,BARCELONA,BARCELONA 6-D,21208
2017,BARCELONA,BARCELONA 7-A,21275
2017,BARCELONA,BARCELONA 7-B,19070
2017,BARCELONA,BARCELONA 7-C,19149
2017,BARCELONA,BARCELONA 7-D,27532
2017,BARCELONA,BARCELONA 7-E,29913
2017,BARCELONA,BARCELONA 7-F,20358
2017,BARCELONA,BARCELONA 8-A,9969
2017,BARCELONA,BARCELONA 8-B,11752
2017,BARCELONA,BARCELONA 8-C,13867
2017,BARCELONA,BARCELONA 8-D,15702
2017,BARCELONA,BARCELONA 8-E,18352
2017,BARCELONA,BARCELONA 8-F,25489
2017,BARCELONA,BARCELONA 8-G,16326
2017,BARCELONA,BARCELONA 8-H,14997
2017,BARCELONA,BARCELONA 9-A,34123
2017,BARCELONA,BARCELONA 9-C,34506
2017,BARCELONA,BARCELONA 9-E,14391
2017,BARCELONA,BARCELONA 9-F,10436
2017,BARCELONA,BARCELONA 10-A,34958
2017,BARCELONA,BARCELONA 10-B,28701
2017,BARCELONA,BARCELONA 10-C,22583
2017,BARCELONA,BARCELONA 10-D,26614
2017,BARCELONA,BARCELONA 10-E,17004
2017,BARCELONA,BARCELONA 10-F,24224
2017,BARCELONA,BARCELONA 10-G,24173
2017,BARCELONA,BARCELONA 10-H,20142
2017,BARCELONA,BARCELONA 10-I,12574
2017,BARCELONA,CALDES DE MONTBUI,23157
2017,BARCELONA,CARDEDEU,20952
2017,BARCELONA,CASTELLAR DEL VALLÈS,25602
2017,BARCELONA,CERDANYOLA DEL VALLÈS 1,23996
2017,BARCELONA,CERDANYOLA DEL VALLÈS 2,24108
2017,BARCELONA,CORNELLÀ DE LLOBREGAT 1,32468
2017,BARCELONA,CORNELLÀ DE LLOBREGAT 2,25560
2017,BARCELONA,CORNELLÀ DE LLOBREGAT 3,13090
2017,BARCELONA,CORNELLÀ DE LLOBREGAT 4,16705
2017,BARCELONA,ESPARRAGUERA,27202
2017,BARCELONA,ESPLUGUES DE LLOBREGAT 1,18362
2017,BARCELONA,ESPLUGUES DE LLOBREGAT 2,28673
2017,BARCELONA,LA GARRIGA,28260
2017,BARCELONA,GAVÀ 1,19353
2017,BARCELONA,GAVÀ 2,25957
2017,BARCELONA,MARTORELL,28550
2017,BARCELONA,MARTORELLES,13957
2017,BARCELONA,MATARÓ 1,18637
2017,BARCELONA,MATARÓ 2,16827
2017,BARCELONA,MATARÓ 3,17679
2017,BARCELONA,MATARÓ 4,21857
2017,BARCELONA,MATARÓ 5,21333
2017,BARCELONA,MATARÓ 6,15206
2017,BARCELONA,MATARÓ 7,13810
2017,BARCELONA,MOLINS DE REI,29136
2017,BARCELONA,MONTORNÈS / MONTMELÓ,32553
2017,BARCELONA,OLESA DE MONTSERRAT,23496
2017,BARCELONA,PARETS DEL VALLÈS,18595
2017,BARCELONA,PENEDÈS RURAL,33115
2017,BARCELONA,EL PRAT DE LLOBREGAT 1,21415
2017,BARCELONA,EL PRAT DE LLOBREGAT 2,29430
2017,BARCELONA,EL PRAT DE LLOBREGAT 3,12731
2017,BARCELONA,PREMIÀ DE MAR,38210
2017,BARCELONA,SABADELL 1A,33035
2017,BARCELONA,SABADELL 1B,20780
2017,BARCELONA,SABADELL 2,24336
2017,BARCELONA,SABADELL 3A,19378
2017,BARCELONA,SABADELL 3B,16147
2017,BARCELONA,SABADELL 5,19103
2017,BARCELONA,SABADELL 6,30039
2017,BARCELONA,SABADELL 7,8800
2017,BARCELONA,SANT ANDREU DE LA BARCA,27783
2017,BARCELONA,SANT BOI DE LLOBREGAT 1,38676
2017,BARCELONA,SANT BOI DE LLOBREGAT 2,20952
2017,BARCELONA,SANT BOI DE LLOBREGAT 3,10895
2017,BARCELONA,SANT BOI DE LLOBREGAT 4,20863
2017,BARCELONA,SANT CELONI,34292
2017,BARCELONA,SANT FELIU DE LLOBREGAT 1,17778
2017,BARCELONA,SANT FELIU DE LLOBREGAT 2,26292
2017,BARCELONA,SANT JOAN DESPÍ 1,20296
2017,BARCELONA,SANT JOAN DESPÍ 2,13412
2017,BARCELONA,SANT JUST DESVERN,17199
2017,BARCELONA,SANT SADURNÍ D'ANOIA,21865
2017,BARCELONA,SANTA COLOMA DE GRAMENET 1,22133
2017,BARCELONA,SANTA COLOMA DE GRAMENET 2,14988
2017,BARCELONA,SANTA COLOMA DE GRAMENET 3,19494
2017,BARCELONA,SANTA COLOMA DE GRAMENET 4,22571
2017,BARCELONA,SANTA COLOMA DE GRAMENET 5,20502
2017,BARCELONA,SANTA PERPÈTUA DE LA MOGODA,25108
2017,BARCELONA,SITGES,24534
2017,BARCELONA,TERRASSA A,41164
2017,BARCELONA,TERRASSA B,26667
2017,BARCELONA,TERRASSA C,10804
2017,BARCELONA,TERRASSA D,32783
2017,BARCELONA,TERRASSA E,62401
2017,BARCELONA,TERRASSA F,41627
2017,BARCELONA,VALLIRANA,22744
2017,BARCELONA,VILADECANS 1,42233
2017,BARCELONA,VILADECANS 2,26803
2017,BARCELONA,VILASSAR DE MAR,24795
2017,BARCELONA,BADALONA 1,11678
2017,BARCELONA,BADALONA 2,15797
2017,BARCELONA,BADALONA 3,19927
2017,BARCELONA,BADALONA 4,12092
2017,BARCELONA,BADALONA 5,18974
2017,BARCELONA,BADALONA 6,24235
2017,BARCELONA,BADALONA 8,15089
2017,BARCELONA,BADALONA 9,18434
2017,BARCELONA,BADALONA 10,9757
2017,BARCELONA,BADALONA 11,22972
2017,BARCELONA,BADALONA 12,11638
2017,BARCELONA,GRANOLLERS 1 -OEST,22523
2017,BARCELONA,GRANOLLERS 2 - NORD,29433
2017,BARCELONA,GRANOLLERS 3 - CENTRE EST,28737
2017,BARCELONA,GRANOLLERS 4 - SUD,15944
2017,BARCELONA,L'HOSPITALET DE LLOBREGAT 1 - CENTRE,28473
2017,BARCELONA,L'HOSPITALET DE LLOBREGAT 2 -S.JOSEP,22736
2017,BARCELONA,L'HOSPITALET DE LLOBREGAT 3 - COLLBLANC,24670
2017,BARCELONA,L'HOSPITALET DE LLOBREGAT 4-TORRASA,25963
2017,BARCELONA,L'HOSPITALET DE LLOBREGAT 5-S.EULÀLIA N.,19612
2017,BARCELONA,L'HOSPITALET DE LLOBREGAT 6-S.EULÀLIA S.,23012
2017,BARCELONA,L'HOSPITALET DE LLOBREGAT 7-FLORIDA N.,21331
2017,BARCELONA,L'HOSPITALET DE LLOBREGAT 8-FLORIDA S.,22174
2017,BARCELONA,L'HOSPITALET DE LLOBREGAT 9-PUBILLA C.,28683
2017,BARCELONA,L'HOSPITALET DE LLOBREGAT 10 - C.SERRA,10373
2017,BARCELONA,L'HOSPITALET DE LLOBREGAT 11 - GORNAL,8259
2017,BARCELONA,L'HOSPITALET DE LLOBREGAT 12 (BELLVITGE),25684
2017,BARCELONA,LA LLAGOSTA,13856
2017,BARCELONA,MONTCADA I REIXAC,33683
2017,BARCELONA,RUBÍ 1,30933
2017,BARCELONA,RUBÍ 2,39997
2017,BARCELONA,SANT ADRIÀ DEL BESÒS 1,20683
2017,BARCELONA,SANT ADRIÀ DEL BESÒS 2,15805
2017,BARCELONA,VALL DEL TENES,36151
2017,BARCELONA,VILANOVA I LA GELTRÚ 1,23771
2017,BARCELONA,VILANOVA I LA GELTRÚ 2,23574
2017,BARCELONA,GARRAF RURAL,36687
2017,BARCELONA,MONTGAT,19291
2017,BARCELONA,BARBERÀ DEL VALLÈS,32536
2017,BARCELONA,CIUTAT BADIA,14017
2017,BARCELONA,BARCELONA 7-G,31343
2017,BARCELONA,BARCELONA 8-I,17663
2017,BARCELONA,BARCELONA 10-J,22712
2017,BARCELONA,SANT ANDREU DE LLAVANERES,18128
2017,BARCELONA,BADALONA 7A,19066
2017,BARCELONA,BADALONA 7B,19246
2017,BARCELONA,SABADELL 4-A,14920
2017,BARCELONA,SABADELL 4-B,23507
2017,BARCELONA,MOLLET DEL VALLÈS-EST,28704
2017,BARCELONA,MOLLET DEL VALLÈS-2 OEST,23558
2017,BARCELONA,VILASSAR DE DALT,15690
2017,BARCELONA,LA ROCA DEL VALLÈS,10159
2017,BARCELONA,TERRASSA-G,24795
2017,BARCELONA,BARCELONA 6-E,23232
2017,BARCELONA,CUBELLES-CUNIT,25226
2017,BARCELONA,MARTORELL RURAL,26175
2017,BARCELONA,EL MASNOU-ALELLA,23777
2017,BARCELONA,OCATA-TEIÀ,14381
2017,BARCELONA,SANT QUIRZE DEL VALLÈS,17702
2017,BARCELONA,CASTELLDEFELS-1,36329
2017,BARCELONA,CASTELLDEFELS-2,27237
2017,BARCELONA,PALLEJÀ,11230
2017,BARCELONA,SANTA COLOMA DE GRAMENET 6,20389
2017,BARCELONA,CORBERA DE LLOBREGAT,16932
2017,BARCELONA,ABRERA,12080
2017,BARCELONA,BEGUES,6531
2017,BARCELONA,SANT VICENÇ DELS HORTS-1,21272
2017,BARCELONA,SANT VICENÇ DELS HORTS-2,12481
2017,BARCELONA,ALT MOGENT,20162
2017,BARCELONA,RUBÍ -3,15767
2017,BARCELONA,VILANOVA I LA GELTRÚ 3,18532
2017,BARCELONA,BARCELONA 3-H,18406
2017,BARCELONA,CERDANYOLA-RIPOLLET,13314
2017,BARCELONA,BARCELONA 8J,24196
2017,BARCELONA,RIPOLLET-1,17662
2017,BARCELONA,RIPOLLET-2,14473
2017,BARCELONA,SANT CUGAT DEL VALLÈS-1,30579
2017,BARCELONA,SANT CUGAT DEL VALLÈS-2,31616
2017,BARCELONA,SANT CUGAT DEL VALLÈS-3,24054
2017,BARCELONA,PALAU-SOLITÀ I PLEGAMANS,14730
2017,BARCELONA,POLINYÀ-SENTMENAT,16608
2017,BARCELONA,BARCELONA 9-H,30800
2017,BARCELONA,BARCELONA 9-I,23973
2017,BARCELONA,VILAFRANCA DEL PENEDÈS 1,19711
2017,BARCELONA,VILAFRANCA DEL PENEDÈS 2,21272
2017,SENSE ESPECIFICAR,SENSE ESPECIFICAR,27
2016,LLEIDA,AGRAMUNT,6596
2016,LLEIDA,ALCARRÀS,13084
2016,LLEIDA,ALFARRÀS/ALMENAR,10006
2016,LLEIDA,ARTESA DE SEGRE,4104
2016,LLEIDA,BALAGUER,27804
2016,LLEIDA,BELLPUIG,7050
2016,LLEIDA,LES BORGES BLANQUES,16064
2016,LLEIDA,CERVERA,20470
2016,LLEIDA,LA GRANADELLA,2577
2016,LLEIDA,LLEIDA 1,19310
2016,LLEIDA,LLEIDA 2,26432
2016,LLEIDA,LLEIDA 3,26493
2016,LLEIDA,LLEIDA 4,37250
2016,LLEIDA,LLEIDA 5,15712
2016,LLEIDA,LLEIDA 6,16123
2016,LLEIDA,LLEIDA RURAL 1-NORD,22753
2016,LLEIDA,PLA D'URGELL,37250
2016,LLEIDA,PONTS,3700
2016,LLEIDA,SERÒS,6793
2016,LLEIDA,TÀRREGA,23158
2016,LLEIDA,LLEIDA RURAL 2-SUD,7459
2016,LLEIDA,ALMACELLES,8810
2016,CAMP DE TARRAGONA,EL VENDRELL,46087
2016,CAMP DE TARRAGONA,LES BORGES DEL CAMP,6531
2016,CAMP DE TARRAGONA,CAMBRILS,32443
2016,CAMP DE TARRAGONA,CONSTANTÍ,6728
2016,CAMP DE TARRAGONA,CORNUDELLA DE MONTSANT,2204
2016,CAMP DE TARRAGONA,FALSET,6740
2016,CAMP DE TARRAGONA,MONTBLANC,16009
2016,CAMP DE TARRAGONA,MONT-ROIG DEL CAMP,12532
2016,CAMP DE TARRAGONA,EL MORELL,11551
2016,CAMP DE TARRAGONA,RIUDOMS,12350
2016,CAMP DE TARRAGONA,TARRAGONA 1,14610
2016,CAMP DE TARRAGONA,TARRAGONA 2,28028
2016,CAMP DE TARRAGONA,TARRAGONA 3,29879
2016,CAMP DE TARRAGONA,TARRAGONA 4,15370
2016,CAMP DE TARRAGONA,TARRAGONA 5,16445
2016,CAMP DE TARRAGONA,TARRAGONA 6,19296
2016,CAMP DE TARRAGONA,TORREDEMBARRA,34606
2016,CAMP DE TARRAGONA,ALT CAMP EST,11479
2016,CAMP DE TARRAGONA,VALLS URBÀ,27220
2016,CAMP DE TARRAGONA,REUS 1,13562
2016,CAMP DE TARRAGONA,REUS 2,27317
2016,CAMP DE TARRAGONA,REUS 3,22706
2016,CAMP DE TARRAGONA,REUS 4,21677
2016,CAMP DE TARRAGONA,REUS 5,27247
2016,CAMP DE TARRAGONA,BAIX PENEDÈS - INTERIOR,14834
2016,CAMP DE TARRAGONA,VANDELLÒS I L'HOSPITALET DE L'INFANT,5527
2016,CAMP DE TARRAGONA,ALT CAMP OEST,6172
2016,CAMP DE TARRAGONA,SALOU,25248
2016,CAMP DE TARRAGONA,VILA-SECA,21061
2016,CAMP DE TARRAGONA,TARRAGONA-7 (SANT SALVADOR),11215
2016,CAMP DE TARRAGONA,LA SELVA DEL CAMP,7138
2016,CAMP DE TARRAGONA,CALAFELL,22402
2016,CAMP DE TARRAGONA,TARRAGONA-8,15796
2016,TERRES DE L'EBRE,AMPOSTA,30801
2016,TERRES DE L'EBRE,DELTEBRE,11768
2016,TERRES DE L'EBRE,FLIX,7809
2016,TERRES DE L'EBRE,MÓRA LA NOVA - MÓRA D'EBRE,14218
2016,TERRES DE L'EBRE,L'AMETLLA DE MAR - EL PERELLÓ,9574
2016,TERRES DE L'EBRE,SANT CARLES DE LA RÀPITA,23810
2016,TERRES DE L'EBRE,TERRA ALTA,11378
2016,TERRES DE L'EBRE,TORTOSA 1 - EST,23536
2016,TERRES DE L'EBRE,TORTOSA 2 - OEST,24071
2016,TERRES DE L'EBRE,ULLDECONA,12370
2016,TERRES DE L'EBRE,L'ALDEA - CAMARLES - L'AMPOLLA,10538
2016,GIRONA,ANGLÈS,12128
2016,GIRONA,ARBÚCIES/SANT HILARI,12213
2016,GIRONA,BANYOLES,31545
2016,GIRONA,BÀSCARA,4535
2016,GIRONA,BESALÚ,6065
2016,GIRONA,LA BISBAL D'EMPORDÀ,16624
2016,GIRONA,BLANES,38656
2016,GIRONA,CALELLA,18221
2016,GIRONA,CAMPRODON,3917
2016,GIRONA,CANET DE MAR,22307
2016,GIRONA,CASSÀ DE LA SELVA,31033
2016,GIRONA,CELRÀ,9634
2016,GIRONA,L'ESCALA,15529
2016,GIRONA,FIGUERES,48204
2016,GIRONA,GIRONA 1,22092
2016,GIRONA,GIRONA 2,31195
2016,GIRONA,GIRONA 3,35030
2016,GIRONA,GIRONA 4,14655
2016,GIRONA,LA JONQUERA,7035
2016,GIRONA,LLANÇÀ,6848
2016,GIRONA,LLORET DE MAR,39959
2016,GIRONA,MALGRAT DE MAR,26607
2016,GIRONA,OLOT,37885
2016,GIRONA,PALAFRUGEL,30623
2016,GIRONA,PALAMÓS,28340
2016,GIRONA,PERALADA,7138
2016,GIRONA,RIPOLL-SANT JOAN DE LES ABADESSES,14460
2016,GIRONA,ROSES,32707
2016,GIRONA,SALT,40814
2016,GIRONA,SANT FELIU DE GUÍXOLS,35194
2016,GIRONA,SANTA COLOMA DE FARNERS,15809
2016,GIRONA,SARRIÀ DE TER,13412
2016,GIRONA,SILS/VIDRERES/MAÇANET DE LA SELVA,22012
2016,GIRONA,TORROELLA DE MONTGRÍ,15091
2016,GIRONA,VILAFANT,14011
2016,GIRONA,PINEDA,28944
2016,GIRONA,BREDA - HOSTALRIC,12559
2016,GIRONA,TORDERA,16924
2016,GIRONA,RIBES DE FRESER-CAMPDEVÀNOL,5820
2016,GIRONA,SANT JOAN LES FONTS,5120
2016,GIRONA,VALL D'EN BAS,6147
2016,CATALUNYA CENTRAL,ARTÉS,11048
2016,CATALUNYA CENTRAL,BERGA,21176
2016,CATALUNYA CENTRAL,CALAF,6609
2016,CATALUNYA CENTRAL,CARDONA,5255
2016,CATALUNYA CENTRAL,MONTSERRAT,12743
2016,CATALUNYA CENTRAL,CENTELLES,12222
2016,CATALUNYA CENTRAL,BAIX BERGUEDÀ,11398
2016,CATALUNYA CENTRAL,ALT BERGUEDÀ,4719
2016,CATALUNYA CENTRAL,ANOIA RURAL,10593
2016,CATALUNYA CENTRAL,MANLLEU,20371
2016,CATALUNYA CENTRAL,MANRESA 1,20837
2016,CATALUNYA CENTRAL,MANRESA 2,22494
2016,CATALUNYA CENTRAL,MANRESA 3,14376
2016,CATALUNYA CENTRAL,MANRESA 4,22126
2016,CATALUNYA CENTRAL,MOIÀ,9614
2016,CATALUNYA CENTRAL,NAVÀS/BALSARENY,9681
2016,CATALUNYA CENTRAL,LLUÇANÈS,5902
2016,CATALUNYA CENTRAL,SALLENT,6607
2016,CATALUNYA CENTRAL,NAVARCLES - SANT FRUITÓS DE BAGES,22638
2016,CATALUNYA CENTRAL,SANT HIPÒLIT DE VOLTREGÀ,6976
2016,CATALUNYA CENTRAL,SANT JOAN DE VILATORRADA,12836
2016,CATALUNYA CENTRAL,SANT QUIRZE DE BESORA,4532
2016,CATALUNYA CENTRAL,SANT VICENÇ DE CASTELLET,14819
2016,CATALUNYA CENTRAL,SANTA COLOMA DE QUERALT,3344
2016,CATALUNYA CENTRAL,SANTA MARGARIDA DE MONTBUI,9878
2016,CATALUNYA CENTRAL,EL SOLSONÈS,12698
2016,CATALUNYA CENTRAL,SÚRIA,8716
2016,CATALUNYA CENTRAL,SANTA EUGÈNIA DE BERGA,17508
2016,CATALUNYA CENTRAL,TONA,12024
2016,CATALUNYA CENTRAL,VALL DEL GES,18197
2016,CATALUNYA CENTRAL,VILANOVA DEL CAMÍ,12549
2016,CATALUNYA CENTRAL,CAPELLADES,10411
2016,CATALUNYA CENTRAL,PIERA,17045
2016,CATALUNYA CENTRAL,VIC-1 NORD,25387
2016,CATALUNYA CENTRAL,VIC-2 SUD,23720
2016,CATALUNYA CENTRAL,IGUALADA-1,19821
2016,CATALUNYA CENTRAL,IGUALADA-2,20296
2016,CATALUNYA CENTRAL,RODA DE TER,9453
2016,ALT PIRINEU i ARAN,ARAN,9086
2016,ALT PIRINEU i ARAN,LA CERDANYA,15854
2016,ALT PIRINEU i ARAN,ALT URGELL-SUD,4002
2016,ALT PIRINEU i ARAN,PALLARS SOBIRÀ,5792
2016,ALT PIRINEU i ARAN,LA POBLA DE SEGUR,4247
2016,ALT PIRINEU i ARAN,ALTA RIBAGORÇA,3572
2016,ALT PIRINEU i ARAN,LA SEU D'URGELL,16407
2016,ALT PIRINEU i ARAN,TREMP,8124
2016,BARCELONA,ARENYS DE MAR,23325
2016,BARCELONA,ARGENTONA,17020
2016,BARCELONA,BARCELONA 1-A,14475
2016,BARCELONA,BARCELONA 1-B,22243
2016,BARCELONA,BARCELONA 1-C,14578
2016,BARCELONA,BARCELONA 1-D,29713
2016,BARCELONA,BARCELONA 1-E,21161
2016,BARCELONA,BARCELONA 2-A,33589
2016,BARCELONA,BARCELONA 2-B,30276
2016,BARCELONA,BARCELONA 2-C,30939
2016,BARCELONA,BARCELONA 2-D,18611
2016,BARCELONA,BARCELONA 2-E,33183
2016,BARCELONA,BARCELONA 2-G,22026
2016,BARCELONA,BARCELONA 2-H,26130
2016,BARCELONA,BARCELONA 2-I,20669
2016,BARCELONA,BARCELONA 2-J,27380
2016,BARCELONA,BARCELONA 2-K,25571
2016,BARCELONA,BARCELONA 3-A,24723
2016,BARCELONA,BARCELONA 3-B,24415
2016,BARCELONA,BARCELONA 3-C,15085
2016,BARCELONA,BARCELONA 3-D,30083
2016,BARCELONA,BARCELONA 3-E,41689
2016,BARCELONA,BARCELONA 3-G,26971
2016,BARCELONA,BARCELONA 4-A,28368
2016,BARCELONA,BARCELONA 4-B,21975
2016,BARCELONA,BARCELONA 4-C,30911
2016,BARCELONA,BARCELONA 5-A,28530
2016,BARCELONA,BARCELONA 5-B,34580
2016,BARCELONA,BARCELONA 5-C,26948
2016,BARCELONA,BARCELONA 5-D,18724
2016,BARCELONA,BARCELONA 5-E,33593
2016,BARCELONA,BARCELONA 6-A,30019
2016,BARCELONA,BARCELONA 6-B,26130
2016,BARCELONA,BARCELONA 6-C,21064
2016,BARCELONA,BARCELONA 6-D,21159
2016,BARCELONA,BARCELONA 7-A,21359
2016,BARCELONA,BARCELONA 7-B,19351
2016,BARCELONA,BARCELONA 7-C,19272
2016,BARCELONA,BARCELONA 7-D,27553
2016,BARCELONA,BARCELONA 7-E,29693
2016,BARCELONA,BARCELONA 7-F,20184
2016,BARCELONA,BARCELONA 8-A,9898
2016,BARCELONA,BARCELONA 8-B,11625
2016,BARCELONA,BARCELONA 8-C,13885
2016,BARCELONA,BARCELONA 8-D,15693
2016,BARCELONA,BARCELONA 8-E,18335
2016,BARCELONA,BARCELONA 8-F,25522
2016,BARCELONA,BARCELONA 8-G,16182
2016,BARCELONA,BARCELONA 8-H,14974
2016,BARCELONA,BARCELONA 9-A,34047
2016,BARCELONA,BARCELONA 9-C,34537
2016,BARCELONA,BARCELONA 9-E,14378
2016,BARCELONA,BARCELONA 9-F,10544
2016,BARCELONA,BARCELONA 10-A,34785
2016,BARCELONA,BARCELONA 10-B,28646
2016,BARCELONA,BARCELONA 10-C,22552
2016,BARCELONA,BARCELONA 10-D,26772
2016,BARCELONA,BARCELONA 10-E,17099
2016,BARCELONA,BARCELONA 10-F,24169
2016,BARCELONA,BARCELONA 10-G,24258
2016,BARCELONA,BARCELONA 10-H,20311
2016,BARCELONA,BARCELONA 10-I,12637
2016,BARCELONA,CALDES DE MONTBUI,23093
2016,BARCELONA,CARDEDEU,20843
2016,BARCELONA,CASTELLAR DEL VALLÈS,25493
2016,BARCELONA,CERDANYOLA DEL VALLÈS 1,24066
2016,BARCELONA,CERDANYOLA DEL VALLÈS 2,24272
2016,BARCELONA,CORNELLÀ DE LLOBREGAT 1,32374
2016,BARCELONA,CORNELLÀ DE LLOBREGAT 2,25941
2016,BARCELONA,CORNELLÀ DE LLOBREGAT 3,13150
2016,BARCELONA,CORNELLÀ DE LLOBREGAT 4,16666
2016,BARCELONA,ESPARRAGUERA,27181
2016,BARCELONA,ESPLUGUES DE LLOBREGAT 1,18399
2016,BARCELONA,ESPLUGUES DE LLOBREGAT 2,28634
2016,BARCELONA,LA GARRIGA,28073
2016,BARCELONA,GAVÀ 1,19394
2016,BARCELONA,GAVÀ 2,25875
2016,BARCELONA,MARTORELL,28635
2016,BARCELONA,MARTORELLES,13908
2016,BARCELONA,MATARÓ 1,18635
2016,BARCELONA,MATARÓ 2,16627
2016,BARCELONA,MATARÓ 3,17691
2016,BARCELONA,MATARÓ 4,21809
2016,BARCELONA,MATARÓ 5,21260
2016,BARCELONA,MATARÓ 6,15107
2016,BARCELONA,MATARÓ 7,13816
2016,BARCELONA,MOLINS DE REI,28996
2016,BARCELONA,MONTORNÈS / MONTMELÓ,32547
2016,BARCELONA,OLESA DE MONTSERRAT,23391
2016,BARCELONA,PARETS DEL VALLÈS,18391
2016,BARCELONA,PENEDÈS RURAL,32904
2016,BARCELONA,EL PRAT DE LLOBREGAT 1,21404
2016,BARCELONA,EL PRAT DE LLOBREGAT 2,29279
2016,BARCELONA,EL PRAT DE LLOBREGAT 3,12677
2016,BARCELONA,PREMIÀ DE MAR,38145
2016,BARCELONA,SABADELL 1A,32673
2016,BARCELONA,SABADELL 1B,20689
2016,BARCELONA,SABADELL 2,24285
2016,BARCELONA,SABADELL 3A,19382
2016,BARCELONA,SABADELL 3B,16158
2016,BARCELONA,SABADELL 5,18892
2016,BARCELONA,SABADELL 6,30008
2016,BARCELONA,SABADELL 7,8793
2016,BARCELONA,SANT ANDREU DE LA BARCA,27683
2016,BARCELONA,SANT BOI DE LLOBREGAT 1,38866
2016,BARCELONA,SANT BOI DE LLOBREGAT 2,20796
2016,BARCELONA,SANT BOI DE LLOBREGAT 3,10951
2016,BARCELONA,SANT BOI DE LLOBREGAT 4,20881
2016,BARCELONA,SANT CELONI,33970
2016,BARCELONA,SANT FELIU DE LLOBREGAT 1,17569
2016,BARCELONA,SANT FELIU DE LLOBREGAT 2,26357
2016,BARCELONA,SANT JOAN DESPÍ 1,20262
2016,BARCELONA,SANT JOAN DESPÍ 2,13236
2016,BARCELONA,SANT JUST DESVERN,17095
2016,BARCELONA,SANT SADURNÍ D'ANOIA,21748
2016,BARCELONA,SANTA COLOMA DE GRAMENET 1,22285
2016,BARCELONA,SANTA COLOMA DE GRAMENET 2,14984
2016,BARCELONA,SANTA COLOMA DE GRAMENET 3,19472
2016,BARCELONA,SANTA COLOMA DE GRAMENET 4,22668
2016,BARCELONA,SANTA COLOMA DE GRAMENET 5,20448
2016,BARCELONA,SANTA PERPÈTUA DE LA MOGODA,25078
2016,BARCELONA,SITGES,24600
2016,BARCELONA,TERRASSA A,40882
2016,BARCELONA,TERRASSA B,26540
2016,BARCELONA,TERRASSA C,10742
2016,BARCELONA,TERRASSA D,32574
2016,BARCELONA,TERRASSA E,62415
2016,BARCELONA,TERRASSA F,41674
2016,BARCELONA,VALLIRANA,22716
2016,BARCELONA,VILADECANS 1,42068
2016,BARCELONA,VILADECANS 2,26837
