CLASS,AGE,SEX,SURVIVED
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Sobrevive
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Adulto,Mujer,Muere
3a,Menor,Hombre,Sobrevive
3a,Menor,Hombre,Sobrevive
3a,Menor,Hombre,Sobrevive
3a,Menor,Hombre,Sobrevive
3a,Menor,Hombre,Sobrevive
3a,Menor,Hombre,Sobrevive
3a,Menor,Hombre,Sobrevive
3a,Menor,Hombre,Sobrevive
3a,Menor,Hombre,Sobrevive
3a,Menor,Hombre,Sobrevive
3a,Menor,Hombre,Sobrevive
3a,Menor,Hombre,Sobrevive
3a,Menor,Hombre,Sobrevive
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Hombre,Muere
3a,Menor,Mujer,Sobrevive
3a,Menor,Mujer,Sobrevive
3a,Menor,Mujer,Sobrevive
3a,Menor,Mujer,Sobrevive
3a,Menor,Mujer,Sobrevive
3a,Menor,Mujer,Sobrevive
3a,Menor,Mujer,Sobrevive
3a,Menor,Mujer,Sobrevive
3a,Menor,Mujer,Sobrevive
3a,Menor,Mujer,Sobrevive
3a,Menor,Mujer,Sobrevive
3a,Menor,Mujer,Sobrevive
3a,Menor,Mujer,Sobrevive
3a,Menor,Mujer,Sobrevive
3a,Menor,Mujer,Muere
3a,Menor,Mujer,Muere
3a,Menor,Mujer,Muere
3a,Menor,Mujer,Muere
3a,Menor,Mujer,Muere
3a,Menor,Mujer,Muere
3a,Menor,Mujer,Muere
3a,Menor,Mujer,Muere
3a,Menor,Mujer,Muere
3a,Menor,Mujer,Muere
3a,Menor,Mujer,Muere
3a,Menor,Mujer,Muere
3a,Menor,Mujer,Muere
3a,Menor,Mujer,Muere
3a,Menor,Mujer,Muere
3a,Menor,Mujer,Muere
3a,Menor,Mujer,Muere
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Muere
crew,Adulto,Hombre,Muere
crew,Adulto,Hombre,Muere
crew,Adulto,Hombre,Muere
crew,Adulto,Hombre,Muere
crew,Adulto,Hombre,Muere
crew,Adulto,Hombre,Muere
crew,Adulto,Hombre,Muere
crew,Adulto,Hombre,Muere
crew,Adulto,Hombre,Muere
crew,Adulto,Hombre,Muere
crew,Adulto,Hombre,Muere
crew,Adulto,Hombre,Muere
crew,Adulto,Hombre,Muere
crew,Adulto,Hombre,Muere
crew,Adulto,Hombre,Muere
crew,Adulto,Hombre,Muere
crew,Adulto,Hombre,Muere
crew,Adulto,Hombre,Muere
