age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1,self-employed,married,tertiary,no,120,yes,yes,unknown,8,may,2,3,-1,0,unknown,no
2,blue-collar,married,secondary,no,335,yes,no,unknown,8,may,4,1,-1,0,unknown,no
2,services,married,secondary,no,-232,yes,no,unknown,8,may,3,1,-1,0,unknown,no
1,admin.,divorced,secondary,no,785,yes,no,unknown,8,may,5,2,-1,0,unknown,yes
2,services,married,secondary,no,28,yes,no,unknown,8,may,2,1,-1,0,unknown,no
4,management,single,tertiary,no,2067,yes,no,unknown,8,may,5,1,-1,0,unknown,yes
4,blue-collar,married,primary,no,448,yes,no,unknown,8,may,3,1,-1,0,unknown,no
1,student,single,tertiary,no,37,yes,no,unknown,8,may,2,1,-1,0,unknown,no
2,technician,single,tertiary,no,301,yes,no,unknown,8,may,3,1,-1,0,unknown,no
3,blue-collar,married,primary,no,668,no,no,unknown,8,may,4,1,-1,0,unknown,no
5,admin.,divorced,secondary,no,115,yes,yes,unknown,8,may,2,1,-1,0,unknown,no
4,admin.,single,secondary,no,275,no,no,unknown,8,may,1,1,-1,0,unknown,no
5,retired,married,primary,no,414,no,no,unknown,8,may,5,1,-1,0,unknown,no
2,management,single,tertiary,no,3,yes,no,unknown,8,may,3,1,-1,0,unknown,no
3,admin.,divorced,secondary,no,496,no,no,unknown,8,may,4,3,-1,0,unknown,no
1,management,single,tertiary,no,150,yes,no,unknown,8,may,5,1,-1,0,unknown,no
2,management,single,tertiary,no,163,no,no,unknown,8,may,1,1,-1,0,unknown,no
3,admin.,single,secondary,no,1322,yes,no,unknown,8,may,1,1,-1,0,unknown,no
2,housemaid,married,primary,no,1713,yes,no,unknown,8,may,1,1,-1,0,unknown,no
3,admin.,married,primary,no,242,yes,no,unknown,8,may,3,8,-1,0,unknown,no
3,management,married,tertiary,no,-29,no,no,unknown,8,may,5,2,-1,0,unknown,no
5,retired,divorced,tertiary,no,381,yes,no,unknown,8,may,5,4,-1,0,unknown,no
3,blue-collar,single,secondary,no,82,yes,no,unknown,8,may,3,5,-1,0,unknown,no
1,management,single,tertiary,no,21,yes,no,unknown,8,may,3,3,-1,0,unknown,no
1,services,married,secondary,no,1801,yes,no,unknown,8,may,5,2,-1,0,unknown,no
3,blue-collar,married,primary,no,640,yes,yes,unknown,8,may,4,2,-1,0,unknown,no
1,blue-collar,married,primary,no,113,yes,no,unknown,8,may,5,2,-1,0,unknown,no
3,blue-collar,married,secondary,no,1042,yes,no,unknown,8,may,1,2,-1,0,unknown,no
4,services,divorced,secondary,no,240,yes,no,unknown,8,may,3,2,-1,0,unknown,no
3,services,single,secondary,no,-244,yes,no,unknown,8,may,3,2,-1,0,unknown,no
1,blue-collar,married,primary,no,70,yes,yes,unknown,8,may,5,3,-1,0,unknown,no
2,blue-collar,married,secondary,no,-339,yes,no,unknown,8,may,5,2,-1,0,unknown,no
2,management,married,tertiary,no,59,yes,no,unknown,8,may,4,3,-1,0,unknown,no
4,management,married,primary,no,1222,yes,no,unknown,8,may,1,3,-1,0,unknown,no
1,blue-collar,single,secondary,no,0,yes,no,unknown,8,may,1,2,-1,0,unknown,no
4,management,married,tertiary,no,6,yes,no,unknown,8,may,2,4,-1,0,unknown,no
1,blue-collar,married,primary,no,4,yes,no,unknown,8,may,1,2,-1,0,unknown,no
1,services,married,secondary,no,20,yes,yes,unknown,8,may,4,2,-1,0,unknown,no
4,admin.,divorced,tertiary,no,846,yes,no,unknown,8,may,5,2,-1,0,unknown,no
4,blue-collar,divorced,secondary,no,338,yes,no,unknown,8,may,2,1,-1,0,unknown,no
2,blue-collar,married,primary,no,406,yes,no,unknown,8,may,1,1,-1,0,unknown,no
1,services,single,secondary,no,2,no,no,unknown,8,may,3,1,-1,0,unknown,no
2,services,married,secondary,no,2211,no,no,unknown,8,may,3,1,-1,0,unknown,no
3,blue-collar,married,primary,no,87,yes,no,unknown,8,may,3,1,-1,0,unknown,no
1,technician,single,tertiary,no,178,yes,no,unknown,8,may,4,1,-1,0,unknown,no
3,blue-collar,married,secondary,no,-210,yes,no,unknown,8,may,1,1,-1,0,unknown,no
4,management,divorced,tertiary,no,388,yes,no,unknown,8,may,5,2,-1,0,unknown,yes
2,blue-collar,married,secondary,no,1,yes,no,unknown,8,may,2,1,-1,0,unknown,no
2,management,married,secondary,yes,879,yes,no,unknown,8,may,4,1,-1,0,unknown,no
2,blue-collar,married,secondary,no,214,yes,no,unknown,8,may,3,1,-1,0,unknown,no
2,management,married,tertiary,no,1601,yes,no,unknown,8,may,5,2,-1,0,unknown,no
1,blue-collar,married,secondary,no,717,yes,no,unknown,8,may,1,1,-1,0,unknown,no
5,blue-collar,divorced,primary,no,255,yes,no,unknown,8,may,3,2,-1,0,unknown,no
3,management,single,tertiary,no,375,yes,no,unknown,8,may,1,2,-1,0,unknown,no
4,blue-collar,married,primary,no,587,yes,no,unknown,8,may,3,2,-1,0,unknown,no
2,management,married,tertiary,no,644,yes,yes,unknown,8,may,5,2,-1,0,unknown,no
3,management,single,tertiary,no,-275,yes,no,unknown,8,may,3,2,-1,0,unknown,no
4,blue-collar,married,secondary,no,116,yes,no,unknown,8,may,5,2,-1,0,unknown,no
1,entrepreneur,married,tertiary,no,37,yes,yes,unknown,8,may,5,2,-1,0,unknown,no
4,blue-collar,married,primary,no,753,yes,no,unknown,8,may,3,2,-1,0,unknown,no
3,blue-collar,single,primary,no,162,yes,no,unknown,8,may,3,2,-1,0,unknown,no
4,admin.,divorced,secondary,no,984,yes,no,unknown,8,may,4,5,-1,0,unknown,no
2,blue-collar,married,secondary,no,199,yes,no,unknown,8,may,5,3,-1,0,unknown,no
3,services,divorced,secondary,no,241,yes,no,unknown,8,may,2,1,-1,0,unknown,no
1,blue-collar,single,secondary,no,648,yes,yes,unknown,8,may,4,1,-1,0,unknown,no
2,blue-collar,single,secondary,no,907,yes,yes,unknown,8,may,4,1,-1,0,unknown,no
4,blue-collar,married,secondary,no,125,yes,yes,unknown,8,may,2,2,-1,0,unknown,no
3,self-employed,married,primary,no,90,yes,no,unknown,8,may,5,2,-1,0,unknown,no
1,technician,single,secondary,no,54,yes,yes,unknown,8,may,5,6,-1,0,unknown,no
1,blue-collar,single,secondary,no,-132,no,no,unknown,8,may,1,1,-1,0,unknown,no
4,admin.,divorced,secondary,no,267,no,no,unknown,8,may,4,1,-1,0,unknown,no
2,blue-collar,married,primary,no,289,yes,no,unknown,8,may,1,4,-1,0,unknown,no
5,self-employed,divorced,secondary,no,613,yes,no,unknown,8,may,3,2,-1,0,unknown,no
5,management,married,tertiary,no,1786,yes,no,unknown,8,may,1,2,-1,0,unknown,no
1,management,divorced,tertiary,no,607,yes,yes,unknown,8,may,4,3,-1,0,unknown,no
2,services,married,secondary,no,586,yes,yes,unknown,8,may,4,2,-1,0,unknown,no
2,services,single,secondary,no,459,yes,no,unknown,8,may,3,2,-1,0,unknown,no
5,entrepreneur,married,primary,no,298,yes,no,unknown,8,may,2,3,-1,0,unknown,no
5,blue-collar,divorced,primary,no,134,no,no,unknown,8,may,4,2,-1,0,unknown,no
4,blue-collar,married,primary,no,34,yes,no,unknown,8,may,5,3,-1,0,unknown,no
4,services,single,secondary,no,1378,yes,no,unknown,8,may,4,2,-1,0,unknown,no
1,blue-collar,married,tertiary,no,417,yes,yes,unknown,8,may,4,2,-1,0,unknown,no
2,blue-collar,married,secondary,no,25,yes,no,unknown,8,may,1,5,-1,0,unknown,no
4,services,married,secondary,no,22,yes,no,unknown,8,may,3,3,-1,0,unknown,no
2,blue-collar,single,primary,no,398,yes,no,unknown,8,may,1,1,-1,0,unknown,no
4,blue-collar,single,primary,no,1164,yes,no,unknown,8,may,1,1,-1,0,unknown,no
2,management,married,secondary,no,487,yes,no,unknown,8,may,5,2,-1,0,unknown,no
4,admin.,married,secondary,no,1069,yes,no,unknown,8,may,1,2,-1,0,unknown,no
4,blue-collar,married,primary,no,-192,yes,no,unknown,8,may,5,2,-1,0,unknown,yes
4,retired,married,primary,no,0,yes,no,unknown,8,may,3,2,-1,0,unknown,no
5,blue-collar,married,primary,no,332,yes,no,unknown,8,may,4,2,-1,0,unknown,no
3,blue-collar,married,secondary,no,121,yes,no,unknown,8,may,5,2,-1,0,unknown,no
2,blue-collar,married,primary,no,68,yes,no,unknown,8,may,4,1,-1,0,unknown,no
5,blue-collar,divorced,primary,no,-176,yes,no,unknown,8,may,4,1,-1,0,unknown,no
2,blue-collar,married,secondary,no,527,yes,yes,unknown,8,may,1,2,-1,0,unknown,no
5,management,married,tertiary,no,751,no,no,unknown,8,may,4,5,-1,0,unknown,no
3,technician,single,secondary,no,670,yes,no,unknown,8,may,1,3,-1,0,unknown,no
3,blue-collar,single,secondary,no,363,yes,no,unknown,8,may,3,3,-1,0,unknown,no
4,blue-collar,married,secondary,no,376,yes,no,unknown,8,may,1,1,-1,0,unknown,no
3,management,divorced,tertiary,no,292,yes,no,unknown,8,may,4,2,-1,0,unknown,no
2,admin.,single,secondary,no,184,yes,no,unknown,8,may,4,4,-1,0,unknown,no
1,services,married,secondary,no,80,yes,no,unknown,8,may,3,2,-1,0,unknown,no
4,technician,married,secondary,no,1824,yes,no,unknown,8,may,4,1,-1,0,unknown,no
1,blue-collar,married,secondary,no,2850,no,no,unknown,8,may,3,2,-1,0,unknown,no
3,blue-collar,divorced,secondary,no,48,yes,no,unknown,8,may,2,2,-1,0,unknown,no
2,management,married,tertiary,no,76,no,no,unknown,8,may,4,9,-1,0,unknown,no
2,unemployed,single,tertiary,no,336,yes,no,unknown,8,may,2,1,-1,0,unknown,no
4,technician,married,secondary,no,0,no,yes,unknown,8,may,1,3,-1,0,unknown,no
2,technician,single,secondary,no,433,yes,no,unknown,8,may,3,2,-1,0,unknown,no
2,blue-collar,married,secondary,no,103,yes,yes,unknown,8,may,5,2,-1,0,unknown,no
5,blue-collar,married,primary,no,1164,yes,no,unknown,8,may,3,2,-1,0,unknown,no
2,blue-collar,married,secondary,no,129,yes,no,unknown,8,may,1,2,-1,0,unknown,no
1,blue-collar,married,secondary,no,0,yes,no,unknown,8,may,5,2,-1,0,unknown,no
5,blue-collar,married,primary,no,82,yes,no,unknown,8,may,4,2,-1,0,unknown,no
3,blue-collar,married,primary,no,362,yes,no,unknown,8,may,2,5,-1,0,unknown,no
2,blue-collar,married,secondary,no,186,yes,no,unknown,8,may,4,3,-1,0,unknown,no
5,admin.,married,secondary,no,1216,yes,no,unknown,8,may,4,6,-1,0,unknown,no
5,management,divorced,tertiary,no,704,yes,no,unknown,8,may,4,2,-1,0,unknown,no
4,blue-collar,married,primary,no,205,yes,no,unknown,8,may,2,2,-1,0,unknown,no
3,blue-collar,married,primary,no,830,yes,no,unknown,8,may,4,2,-1,0,unknown,no
2,services,married,secondary,no,-315,yes,no,unknown,8,may,1,2,-1,0,unknown,no
3,technician,married,secondary,no,64,yes,yes,unknown,8,may,3,2,-1,0,unknown,no
5,entrepreneur,married,tertiary,no,-820,no,no,unknown,8,may,1,2,-1,0,unknown,no
2,self-employed,single,tertiary,no,538,yes,yes,unknown,8,may,1,9,-1,0,unknown,no
2,technician,single,tertiary,no,948,yes,no,unknown,8,may,2,2,-1,0,unknown,no
5,management,married,tertiary,no,1288,yes,no,unknown,8,may,1,2,-1,0,unknown,no
3,management,married,tertiary,no,393,yes,no,unknown,8,may,2,2,-1,0,unknown,no
4,technician,single,secondary,no,365,yes,no,unknown,8,may,3,2,-1,0,unknown,no
3,blue-collar,single,secondary,no,879,yes,yes,unknown,8,may,4,3,-1,0,unknown,no
2,blue-collar,married,secondary,no,491,yes,no,unknown,8,may,4,2,-1,0,unknown,no
3,management,single,tertiary,no,0,yes,no,unknown,8,may,2,3,-1,0,unknown,no
1,student,single,secondary,no,0,no,no,unknown,8,may,2,2,-1,0,unknown,no
2,unemployed,married,secondary,no,229,yes,no,unknown,8,may,3,4,-1,0,unknown,no
3,services,married,secondary,no,22,yes,yes,unknown,8,may,3,1,-1,0,unknown,no
3,management,married,tertiary,no,570,yes,no,unknown,8,may,2,2,-1,0,unknown,no
2,blue-collar,single,secondary,no,56,yes,no,unknown,8,may,2,2,-1,0,unknown,no
3,admin.,single,secondary,no,118,yes,no,unknown,8,may,5,3,-1,0,unknown,no
1,blue-collar,married,secondary,no,106,yes,no,unknown,8,may,3,2,-1,0,unknown,no
4,management,single,tertiary,no,1768,yes,no,unknown,8,may,3,2,-1,0,unknown,no
3,blue-collar,married,secondary,no,213,yes,no,unknown,8,may,1,2,-1,0,unknown,no
3,unemployed,single,secondary,no,381,yes,no,unknown,8,may,5,2,-1,0,unknown,yes
3,unemployed,married,primary,no,1147,yes,yes,unknown,8,may,4,5,-1,0,unknown,no
4,blue-collar,married,secondary,no,373,yes,no,unknown,8,may,2,2,-1,0,unknown,no
2,blue-collar,married,primary,no,50,yes,no,unknown,8,may,4,2,-1,0,unknown,no
2,blue-collar,married,secondary,no,67,yes,yes,unknown,8,may,5,3,-1,0,unknown,no
4,blue-collar,married,primary,no,0,yes,yes,unknown,8,may,5,3,-1,0,unknown,no
2,admin.,married,secondary,no,61,yes,yes,unknown,8,may,2,2,-1,0,unknown,no
3,blue-collar,married,secondary,no,504,yes,no,unknown,8,may,5,2,-1,0,unknown,no
2,unemployed,single,secondary,no,177,yes,no,unknown,8,may,1,3,-1,0,unknown,no
1,technician,single,secondary,no,584,yes,no,unknown,8,may,3,2,-1,0,unknown,no
2,services,married,primary,no,-732,yes,no,unknown,8,may,1,2,-1,0,unknown,no
3,management,single,tertiary,no,572,yes,no,unknown,8,may,1,2,-1,0,unknown,no
2,blue-collar,married,primary,no,105,yes,no,unknown,8,may,5,2,-1,0,unknown,no
5,technician,single,tertiary,no,0,yes,no,unknown,8,may,5,2,-1,0,unknown,no
2,technician,married,secondary,no,832,yes,yes,unknown,8,may,4,3,-1,0,unknown,no
4,blue-collar,married,primary,no,2642,yes,no,unknown,8,may,4,3,-1,0,unknown,no
3,technician,married,secondary,no,195,yes,no,unknown,8,may,5,2,-1,0,unknown,no
1,housemaid,single,secondary,no,718,yes,no,unknown,8,may,2,3,-1,0,unknown,no
2,management,married,tertiary,no,336,yes,yes,unknown,8,may,1,2,-1,0,unknown,no
3,blue-collar,married,primary,no,332,yes,no,unknown,8,may,4,3,-1,0,unknown,no
2,management,divorced,tertiary,no,1,yes,no,unknown,8,may,5,4,-1,0,unknown,no
5,retired,divorced,primary,no,-138,yes,yes,unknown,8,may,2,4,-1,0,unknown,no
5,blue-collar,married,primary,no,749,no,no,unknown,8,may,4,2,-1,0,unknown,no
3,admin.,married,secondary,no,14,yes,no,unknown,8,may,3,2,-1,0,unknown,no
2,unemployed,single,secondary,no,177,no,no,unknown,8,may,1,4,-1,0,unknown,no
5,blue-collar,married,secondary,no,557,no,no,unknown,8,may,2,3,-1,0,unknown,no
4,blue-collar,married,primary,no,126,yes,no,unknown,8,may,3,2,-1,0,unknown,no
5,blue-collar,married,secondary,no,359,no,yes,unknown,8,may,4,8,-1,0,unknown,no
3,blue-collar,married,primary,no,496,yes,no,unknown,8,may,2,2,-1,0,unknown,no
5,services,single,secondary,no,72,no,no,unknown,8,may,2,2,-1,0,unknown,no
5,blue-collar,married,secondary,no,175,yes,no,unknown,8,may,1,4,-1,0,unknown,no
4,blue-collar,married,primary,no,430,no,no,unknown,8,may,2,8,-1,0,unknown,no
4,technician,divorced,tertiary,no,574,yes,no,unknown,8,may,4,2,-1,0,unknown,no
2,technician,divorced,secondary,no,69,yes,no,unknown,8,may,5,3,-1,0,unknown,no
4,self-employed,married,secondary,no,106,yes,no,unknown,8,may,5,3,-1,0,unknown,no
4,management,divorced,tertiary,no,0,yes,no,unknown,8,may,2,2,-1,0,unknown,no
3,services,single,secondary,no,23,yes,no,unknown,8,may,3,5,-1,0,unknown,no
3,services,married,secondary,no,42,yes,no,unknown,8,may,2,4,-1,0,unknown,no
3,management,married,tertiary,no,429,yes,no,unknown,8,may,4,4,-1,0,unknown,no
2,blue-collar,divorced,primary,no,88,yes,no,unknown,8,may,1,3,-1,0,unknown,no
4,technician,divorced,secondary,no,177,yes,no,unknown,8,may,3,3,-1,0,unknown,no
5,self-employed,married,secondary,no,468,yes,no,unknown,8,may,2,5,-1,0,unknown,no
3,services,married,secondary,no,639,yes,no,unknown,8,may,5,2,-1,0,unknown,no
5,management,married,tertiary,no,2124,yes,no,unknown,8,may,2,2,-1,0,unknown,no
2,unemployed,married,primary,no,309,yes,no,unknown,8,may,2,3,-1,0,unknown,no
5,blue-collar,married,primary,no,202,yes,no,unknown,8,may,3,2,-1,0,unknown,no
2,blue-collar,married,secondary,no,20,yes,yes,unknown,8,may,2,3,-1,0,unknown,no
5,blue-collar,married,secondary,no,-17,yes,no,unknown,8,may,1,3,-1,0,unknown,no
3,management,married,primary,no,-417,yes,no,unknown,8,may,1,3,-1,0,unknown,no
1,management,single,tertiary,no,528,yes,no,unknown,8,may,2,4,-1,0,unknown,no
2,management,single,tertiary,no,394,yes,no,unknown,8,may,5,2,-1,0,unknown,no
2,blue-collar,married,primary,no,856,yes,no,unknown,8,may,4,3,-1,0,unknown,no
3,blue-collar,married,secondary,no,468,yes,no,unknown,8,may,2,2,-1,0,unknown,no
4,blue-collar,married,secondary,no,138,yes,no,unknown,8,may,4,3,-1,0,unknown,no
3,blue-collar,married,secondary,no,406,yes,no,unknown,8,may,5,3,-1,0,unknown,no
2,admin.,married,tertiary,no,221,yes,no,unknown,8,may,3,4,-1,0,unknown,no
3,admin.,married,secondary,no,523,yes,yes,unknown,8,may,5,3,-1,0,unknown,no
3,blue-collar,married,primary,no,-52,yes,no,unknown,8,may,2,5,-1,0,unknown,no
5,technician,divorced,secondary,no,397,yes,no,unknown,8,may,3,7,-1,0,unknown,no
3,blue-collar,married,primary,no,-432,yes,no,unknown,8,may,3,3,-1,0,unknown,no
2,blue-collar,married,primary,no,298,yes,no,unknown,8,may,4,2,-1,0,unknown,no
3,blue-collar,single,secondary,no,1080,yes,yes,unknown,8,may,3,4,-1,0,unknown,no
3,management,single,tertiary,no,-85,yes,no,unknown,8,may,5,2,-1,0,unknown,no
5,management,divorced,secondary,no,123,no,no,unknown,8,may,4,2,-1,0,unknown,no
1,management,single,tertiary,no,498,yes,no,unknown,8,may,2,3,-1,0,unknown,no
5,unemployed,married,secondary,no,23,yes,no,unknown,8,may,1,3,-1,0,unknown,no
2,management,married,tertiary,yes,89,no,yes,unknown,8,may,3,3,-1,0,unknown,no
4,technician,divorced,secondary,no,699,yes,no,unknown,8,may,3,1,-1,0,unknown,no
5,blue-collar,divorced,secondary,no,145,yes,no,unknown,8,may,3,1,-1,0,unknown,no
1,blue-collar,single,secondary,no,-138,yes,yes,unknown,8,may,4,5,-1,0,unknown,no
3,technician,married,tertiary,no,491,yes,no,unknown,8,may,2,3,-1,0,unknown,no
2,management,married,tertiary,no,820,yes,no,unknown,8,may,4,4,-1,0,unknown,no
4,blue-collar,married,secondary,no,1376,yes,no,unknown,8,may,4,4,-1,0,unknown,no
3,blue-collar,married,primary,no,0,yes,no,unknown,8,may,5,2,-1,0,unknown,no
3,blue-collar,married,secondary,no,507,yes,no,unknown,8,may,2,2,-1,0,unknown,no
5,management,married,secondary,no,771,no,no,unknown,8,may,2,3,-1,0,unknown,no
2,services,married,secondary,no,310,yes,no,unknown,8,may,3,4,-1,0,unknown,no
5,blue-collar,married,primary,no,136,yes,no,unknown,8,may,1,2,-1,0,unknown,no
4,admin.,married,secondary,no,310,yes,no,unknown,8,may,3,2,-1,0,unknown,no
3,blue-collar,married,primary,no,813,yes,no,unknown,8,may,2,2,-1,0,unknown,no
2,management,married,tertiary,no,14,yes,yes,unknown,8,may,1,1,-1,0,unknown,no
3,blue-collar,married,primary,no,-97,yes,no,unknown,8,may,4,5,-1,0,unknown,no
3,services,married,primary,no,332,yes,no,unknown,8,may,3,1,-1,0,unknown,no
2,admin.,divorced,secondary,no,281,yes,no,unknown,8,may,4,4,-1,0,unknown,no
4,management,married,secondary,no,576,yes,no,unknown,8,may,2,3,-1,0,unknown,no
2,management,single,tertiary,no,1891,yes,no,unknown,9,may,3,5,-1,0,unknown,no
1,services,single,secondary,no,473,yes,yes,unknown,9,may,3,2,-1,0,unknown,no
4,blue-collar,married,primary,no,216,yes,no,unknown,9,may,2,2,-1,0,unknown,no
2,blue-collar,married,secondary,no,-13,yes,no,unknown,9,may,4,3,-1,0,unknown,no
4,admin.,divorced,secondary,no,162,yes,no,unknown,9,may,3,4,-1,0,unknown,no
2,blue-collar,married,primary,no,365,yes,no,unknown,9,may,1,2,-1,0,unknown,no
2,management,single,tertiary,no,264,yes,no,unknown,9,may,3,2,-1,0,unknown,no
2,admin.,single,tertiary,no,490,yes,no,unknown,9,may,2,2,-1,0,unknown,no
5,technician,single,primary,no,230,yes,no,unknown,9,may,2,4,-1,0,unknown,no
1,technician,single,secondary,no,-9,yes,yes,unknown,9,may,3,5,-1,0,unknown,no
2,technician,single,secondary,no,317,yes,no,unknown,9,may,4,2,-1,0,unknown,no
5,self-employed,single,tertiary,no,458,yes,yes,unknown,9,may,2,5,-1,0,unknown,no
2,technician,married,secondary,no,19,yes,no,unknown,9,may,2,2,-1,0,unknown,no
2,blue-collar,married,secondary,no,536,yes,no,unknown,9,may,3,2,-1,0,unknown,no
4,management,divorced,secondary,no,117,yes,no,unknown,9,may,2,1,-1,0,unknown,no
5,blue-collar,single,primary,no,368,yes,no,unknown,9,may,3,1,-1,0,unknown,no
4,blue-collar,married,secondary,no,-98,yes,no,unknown,9,may,2,1,-1,0,unknown,no
2,services,married,secondary,no,627,yes,no,unknown,9,may,2,9,-1,0,unknown,no
4,admin.,married,secondary,no,180,yes,no,unknown,9,may,3,1,-1,0,unknown,no
2,technician,divorced,secondary,no,26,yes,no,unknown,9,may,1,1,-1,0,unknown,no
3,blue-collar,married,primary,no,2171,yes,no,unknown,9,may,2,1,-1,0,unknown,no
5,entrepreneur,married,secondary,no,-118,yes,no,unknown,9,may,2,3,-1,0,unknown,no
4,technician,single,secondary,no,1059,yes,no,unknown,9,may,4,1,-1,0,unknown,no
4,blue-collar,married,primary,no,186,yes,no,unknown,9,may,4,1,-1,0,unknown,no
4,services,married,secondary,no,1306,yes,no,unknown,9,may,4,4,-1,0,unknown,no
2,blue-collar,married,primary,no,3007,yes,no,unknown,9,may,4,1,-1,0,unknown,no
4,admin.,single,secondary,no,-88,yes,no,unknown,9,may,2,1,-1,0,unknown,no
1,blue-collar,married,primary,no,265,yes,yes,unknown,9,may,5,1,-1,0,unknown,no
3,blue-collar,divorced,primary,no,21,yes,no,unknown,9,may,5,1,-1,0,unknown,no
1,admin.,married,secondary,no,252,yes,no,unknown,9,may,5,1,-1,0,unknown,no
1,admin.,single,tertiary,no,422,yes,no,unknown,9,may,4,1,-1,0,unknown,no
4,blue-collar,married,secondary,no,85,yes,no,unknown,9,may,2,2,-1,0,unknown,no
1,blue-collar,married,secondary,no,0,no,no,unknown,9,may,3,1,-1,0,unknown,no
2,blue-collar,divorced,primary,no,60,no,no,unknown,9,may,2,1,-1,0,unknown,no
2,blue-collar,married,secondary,no,687,yes,no,unknown,9,may,1,1,-1,0,unknown,no
2,blue-collar,single,secondary,no,40,yes,no,unknown,9,may,5,4,-1,0,unknown,yes
2,technician,single,tertiary,no,22,yes,no,unknown,9,may,5,3,-1,0,unknown,yes
3,technician,single,secondary,no,-333,yes,yes,unknown,9,may,5,1,-1,0,unknown,no
3,technician,married,secondary,no,483,yes,no,unknown,9,may,4,1,-1,0,unknown,no
2,blue-collar,married,secondary,no,503,yes,yes,unknown,9,may,1,2,-1,0,unknown,no
3,blue-collar,married,secondary,no,1245,yes,no,unknown,9,may,4,1,-1,0,unknown,no
4,blue-collar,married,secondary,no,117,yes,no,unknown,9,may,3,1,-1,0,unknown,no
2,technician,single,tertiary,yes,33,yes,yes,unknown,9,may,4,1,-1,0,unknown,no
3,technician,single,secondary,no,-320,yes,no,unknown,9,may,2,1,-1,0,unknown,no
4,blue-collar,divorced,primary,no,49,yes,no,unknown,9,may,2,1,-1,0,unknown,no
3,management,married,tertiary,no,0,yes,no,unknown,9,may,1,1,-1,0,unknown,no
1,blue-collar,single,secondary,no,100,yes,no,unknown,9,may,1,1,-1,0,unknown,no
2,housemaid,married,primary,no,344,yes,no,unknown,9,may,1,2,-1,0,unknown,no
5,blue-collar,married,secondary,no,-286,yes,no,unknown,9,may,1,1,-1,0,unknown,no
3,blue-collar,single,secondary,no,57,yes,no,unknown,9,may,1,1,-1,0,unknown,no
5,unemployed,divorced,secondary,no,370,no,no,unknown,9,may,3,1,-1,0,unknown,no
4,services,divorced,secondary,no,470,yes,no,unknown,9,may,5,2,-1,0,unknown,no
2,housemaid,married,secondary,no,0,yes,no,unknown,9,may,4,2,-1,0,unknown,no
2,blue-collar,married,primary,no,767,yes,no,unknown,9,may,4,3,-1,0,unknown,no
2,technician,married,secondary,no,0,no,no,unknown,9,may,2,1,-1,0,unknown,no
3,unemployed,married,secondary,no,121,yes,no,unknown,9,may,5,2,-1,0,unknown,no
3,blue-collar,married,secondary,no,190,yes,no,unknown,9,may,1,2,-1,0,unknown,no
2,blue-collar,married,primary,no,120,yes,no,unknown,9,may,4,1,-1,0,unknown,no
2,services,married,secondary,no,2068,yes,yes,unknown,9,may,2,1,-1,0,unknown,no
4,technician,married,secondary,no,332,yes,no,unknown,9,may,5,1,-1,0,unknown,yes
2,management,single,tertiary,no,-322,no,no,unknown,9,may,3,1,-1,0,unknown,no
2,blue-collar,married,primary,no,274,yes,no,unknown,9,may,1,3,-1,0,unknown,no
4,blue-collar,single,secondary,no,3,yes,no,unknown,9,may,5,3,-1,0,unknown,yes
1,blue-collar,married,secondary,no,6,yes,no,unknown,9,may,4,1,-1,0,unknown,no
4,technician,divorced,tertiary,no,288,yes,no,unknown,9,may,3,1,-1,0,unknown,no
5,services,divorced,primary,no,146,yes,no,unknown,9,may,2,1,-1,0,unknown,no
2,blue-collar,married,secondary,no,286,yes,no,unknown,9,may,2,2,-1,0,unknown,no
1,technician,divorced,secondary,no,114,yes,yes,unknown,9,may,5,2,-1,0,unknown,no
2,technician,single,tertiary,no,190,yes,yes,unknown,9,may,4,1,-1,0,unknown,no
3,blue-collar,single,secondary,no,111,yes,no,unknown,9,may,3,2,-1,0,unknown,no
1,management,married,tertiary,no,246,yes,no,unknown,9,may,1,1,-1,0,unknown,no
3,housemaid,divorced,secondary,no,108,no,no,unknown,9,may,2,1,-1,0,unknown,no
4,technician,married,primary,no,187,yes,no,unknown,9,may,3,1,-1,0,unknown,no
2,blue-collar,married,secondary,no,457,yes,no,unknown,9,may,4,1,-1,0,unknown,no
1,admin.,single,secondary,no,131,yes,yes,unknown,9,may,4,1,-1,0,unknown,no
1,management,married,tertiary,no,1825,yes,no,unknown,9,may,3,1,-1,0,unknown,no
2,admin.,married,secondary,no,307,yes,no,unknown,9,may,5,1,-1,0,unknown,yes
2,blue-collar,married,secondary,yes,-198,yes,no,unknown,9,may,1,2,-1,0,unknown,no
2,blue-collar,divorced,secondary,no,739,yes,no,unknown,9,may,3,1,-1,0,unknown,no
1,blue-collar,single,secondary,no,759,yes,no,unknown,9,may,5,1,-1,0,unknown,yes
1,services,single,secondary,no,777,yes,no,unknown,9,may,2,3,-1,0,unknown,no
3,blue-collar,married,primary,no,378,yes,no,unknown,9,may,5,1,-1,0,unknown,no
2,blue-collar,single,primary,no,337,yes,no,unknown,9,may,2,1,-1,0,unknown,no
2,blue-collar,married,primary,no,-78,yes,no,unknown,9,may,3,1,-1,0,unknown,no
2,admin.,married,secondary,no,355,yes,no,unknown,9,may,4,1,-1,0,unknown,no
3,management,divorced,tertiary,no,133,yes,no,unknown,9,may,2,1,-1,0,unknown,no
